"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17631","cart page item quantity cannot be decreased to negative value","","Sun Jun 22 16:53:53 UTC 2025","passed","Sun Jun 22 16:54:11 UTC 2025","","","",""
"","15730","home page has pagination","","Sun Jun 22 16:58:35 UTC 2025","passed","Sun Jun 22 16:58:51 UTC 2025","","","",""
"","56280","home page shows cart details","","Sun Jun 22 16:59:52 UTC 2025","passed","Sun Jun 22 17:00:49 UTC 2025","","","",""
"","13015","home page points to product details page","","Sun Jun 22 16:58:51 UTC 2025","passed","Sun Jun 22 16:59:04 UTC 2025","","","",""
"","23791","checkout page input field shows whether entered billing info is valid","","Sun Jun 22 16:55:35 UTC 2025","passed","Sun Jun 22 16:55:59 UTC 2025","","","",""
"","15705","cart page item can be deleted from cart","","Sun Jun 22 16:54:11 UTC 2025","passed","Sun Jun 22 16:54:27 UTC 2025","","","",""
"","17300","cart page shows details","","Sun Jun 22 16:52:38 UTC 2025","passed","Sun Jun 22 16:52:55 UTC 2025","","","",""
"","68640","checkout page points to order received page","","Sun Jun 22 16:55:59 UTC 2025","passed","Sun Jun 22 16:57:08 UTC 2025","","","",""
"","24749","checkout page shows payment options","","Sun Jun 22 16:57:24 UTC 2025","passed","Sun Jun 22 16:57:49 UTC 2025","","","",""
"","11367","home page can add product to cart","","Sun Jun 22 16:59:20 UTC 2025","passed","Sun Jun 22 16:59:31 UTC 2025","","","",""
"","10930","home page shows products on sale","","Sun Jun 22 16:58:08 UTC 2025","passed","Sun Jun 22 16:58:19 UTC 2025","","","",""
"","16173","checkout page shows price details","","Sun Jun 22 16:57:08 UTC 2025","passed","Sun Jun 22 16:57:24 UTC 2025","","","",""
"","21302","home page has search function","","Sun Jun 22 16:59:31 UTC 2025","passed","Sun Jun 22 16:59:52 UTC 2025","","","",""
"","38260","cart page item quantity can be decreased","","Sun Jun 22 16:53:15 UTC 2025","passed","Sun Jun 22 16:53:53 UTC 2025","","","",""
"","16280","home page product list can be sorted","","Sun Jun 22 16:58:19 UTC 2025","passed","Sun Jun 22 16:58:35 UTC 2025","","","",""
"","15192","cart page points to checkout page","","Sun Jun 22 16:54:45 UTC 2025","passed","Sun Jun 22 16:55:01 UTC 2025","","","",""
"","15826","cart page points to product details page","","Sun Jun 22 16:55:01 UTC 2025","passed","Sun Jun 22 16:55:16 UTC 2025","","","",""
"","18747","cart page total cannot be decreased by invalid coupon code","","Sun Jun 22 16:54:27 UTC 2025","passed","Sun Jun 22 16:54:45 UTC 2025","","","",""
"","15442","home page points to cart page","","Sun Jun 22 16:59:04 UTC 2025","passed","Sun Jun 22 16:59:20 UTC 2025","","","",""
"","9074","home page shows product price","","Sun Jun 22 16:57:59 UTC 2025","passed","Sun Jun 22 16:58:08 UTC 2025","","","",""
"","18881","checkout page has elements","","Sun Jun 22 16:55:16 UTC 2025","passed","Sun Jun 22 16:55:35 UTC 2025","","","",""
"","10589","home page shows a list of products","","Sun Jun 22 16:57:49 UTC 2025","passed","Sun Jun 22 16:57:59 UTC 2025","","","",""
"","20074","cart page item quantity can be increased","","Sun Jun 22 16:52:55 UTC 2025","passed","Sun Jun 22 16:53:15 UTC 2025","","","",""
