"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34847","home page shows product price -- @1.11 ","","Sun Jul 27 16:55:11 UTC 2025","passed","Sun Jul 27 16:55:46 UTC 2025","","","",""
"","34586","home page shows product price -- @1.5 ","","Sun Jul 27 16:51:43 UTC 2025","passed","Sun Jul 27 16:52:18 UTC 2025","","","",""
"","34430","home page shows product price -- @1.8 ","","Sun Jul 27 16:53:27 UTC 2025","passed","Sun Jul 27 16:54:01 UTC 2025","","","",""
"","38188","home page points to cart page","","Sun Jul 27 16:58:45 UTC 2025","passed","Sun Jul 27 16:59:23 UTC 2025","","","",""
"","34557","home page shows product price -- @1.4 ","","Sun Jul 27 16:51:09 UTC 2025","passed","Sun Jul 27 16:51:43 UTC 2025","","","",""
"","34610","home page shows product price -- @1.3 ","","Sun Jul 27 16:50:34 UTC 2025","passed","Sun Jul 27 16:51:09 UTC 2025","","","",""
"","43821","cart page item quantity can be increased","","Sun Jul 27 16:42:15 UTC 2025","passed","Sun Jul 27 16:42:59 UTC 2025","","","",""
"","34758","home page shows a list of products","","Sun Jul 27 16:48:51 UTC 2025","passed","Sun Jul 27 16:49:25 UTC 2025","","","",""
"","41830","cart page shows details","","Sun Jul 27 16:41:33 UTC 2025","passed","Sun Jul 27 16:42:15 UTC 2025","","","",""
"","36449","home page has pagination","","Sun Jul 27 16:57:32 UTC 2025","passed","Sun Jul 27 16:58:08 UTC 2025","","","",""
"","39996","checkout page shows price details","","Sun Jul 27 16:47:31 UTC 2025","passed","Sun Jul 27 16:48:11 UTC 2025","","","",""
"","36217","home page shows cart details","","Sun Jul 27 17:01:07 UTC 2025","passed","Sun Jul 27 17:01:43 UTC 2025","","","",""
"","34595","home page shows product price -- @1.1 ","","Sun Jul 27 16:49:25 UTC 2025","passed","Sun Jul 27 16:50:00 UTC 2025","","","",""
"","41449","cart page item can be deleted from cart","","Sun Jul 27 16:44:00 UTC 2025","passed","Sun Jul 27 16:44:41 UTC 2025","","","",""
"","36508","home page points to product details page","","Sun Jul 27 16:58:08 UTC 2025","passed","Sun Jul 27 16:58:45 UTC 2025","","","",""
"","37615","home page has search function","","Sun Jul 27 17:00:29 UTC 2025","passed","Sun Jul 27 17:01:07 UTC 2025","","","",""
"","34913","home page shows product price -- @1.9 ","","Sun Jul 27 16:54:01 UTC 2025","passed","Sun Jul 27 16:54:36 UTC 2025","","","",""
"","18963","cart page item quantity cannot be decreased to negative value","","Sun Jul 27 16:43:41 UTC 2025","passed","Sun Jul 27 16:44:00 UTC 2025","","","",""
"","42095","cart page item quantity can be decreased","","Sun Jul 27 16:42:59 UTC 2025","passed","Sun Jul 27 16:43:41 UTC 2025","","","",""
"","34236","home page shows product price -- @1.7 ","","Sun Jul 27 16:52:53 UTC 2025","passed","Sun Jul 27 16:53:27 UTC 2025","","","",""
"","19244","checkout page points to order received page","","Sun Jul 27 16:47:11 UTC 2025","passed","Sun Jul 27 16:47:31 UTC 2025","","","",""
"","40023","checkout page shows payment options","","Sun Jul 27 16:48:11 UTC 2025","passed","Sun Jul 27 16:48:51 UTC 2025","","","",""
"","34234","home page shows product price -- @1.12 ","","Sun Jul 27 16:55:46 UTC 2025","passed","Sun Jul 27 16:56:20 UTC 2025","","","",""
"","41007","cart page points to product details page","","Sun Jul 27 16:45:34 UTC 2025","passed","Sun Jul 27 16:46:15 UTC 2025","","","",""
"","40647","cart page points to checkout page","","Sun Jul 27 16:44:53 UTC 2025","passed","Sun Jul 27 16:45:34 UTC 2025","","","",""
"","40192","checkout page has elements","","Sun Jul 27 16:46:15 UTC 2025","passed","Sun Jul 27 16:46:55 UTC 2025","","","",""
"","34377","home page shows product price -- @1.2 ","","Sun Jul 27 16:50:00 UTC 2025","passed","Sun Jul 27 16:50:34 UTC 2025","","","",""
"","11814","cart page total cannot be decreased by invalid coupon code","","Sun Jul 27 16:44:41 UTC 2025","passed","Sun Jul 27 16:44:53 UTC 2025","","","",""
"","34610","home page shows products on sale","","Sun Jul 27 16:56:20 UTC 2025","passed","Sun Jul 27 16:56:54 UTC 2025","","","",""
"","37496","home page product list can be sorted","","Sun Jul 27 16:56:54 UTC 2025","passed","Sun Jul 27 16:57:32 UTC 2025","","","",""
"","66151","home page can add product to cart","","Sun Jul 27 16:59:23 UTC 2025","broken","Sun Jul 27 17:00:29 UTC 2025","","","",""
"","34538","home page shows product price -- @1.6 ","","Sun Jul 27 16:52:18 UTC 2025","passed","Sun Jul 27 16:52:53 UTC 2025","","","",""
"","34498","home page shows product price -- @1.10 ","","Sun Jul 27 16:54:36 UTC 2025","passed","Sun Jul 27 16:55:11 UTC 2025","","","",""
"","16274","checkout page input field shows whether entered billing info is valid","","Sun Jul 27 16:46:55 UTC 2025","passed","Sun Jul 27 16:47:11 UTC 2025","","","",""
